software name,RP Name,overview,core features,tags,research area,research discipline,software type,software class,Software's Web Page,Software Documentation,Tutorials
cuDF,ACES,"cuDF is a Python GPU DataFrame library for loading, joining, aggregating, filtering, and otherwise manipulating data.","Accelerates workflow by using GPU processing power, provides a GPU DataFrame for manipulating data, supports Apache Arrow and Pandas interoperability, enables seamless integration with cuPy and Dask, allows for parallel processing of data, and offers high-performance computing for data analysis.","GPU, Data Manipulation, High Performance Computing, Python Library",Data Science,Computer Science,Library,Data Analysis,https://github.com/rapidsai/cudf,https://docs.rapids.ai/api/cudf/stable/,"https://www.youtube.com/watch?v=lV7rtDW94do, "
OpenJPEG,ACES,OpenJPEG is an open-source JPEG 2000 codec written in C language. It aims to promote JPEG 2000 as the new baseline format for image compression.,"Supports JPEG 2000 image compression standard, Open-source and written in C language, Designed for fast and efficient image encoding and decoding, Offers various configuration options for optimization","Image Compression, Open-Source, C Language",Image Processing,Computer Science,Compression Tool,Codec Library,,,
GCC,"FASTER, Expanse, OOKAMI, Stampede-2, ACES, Delta, Bridges-2, Rockfish",GCC (GNU Compiler Collection) is a free and open-source compiler system that supports various programming languages. It is widely used for compiling and building software on numerous platforms and architectures.,"Support for multiple programming languages, Optimizing and generating machine code, Cross-compilation capabilities, Extensive compiler flags and options, Modular architecture","compiler system, programming languages, software development, cross-platform",Compiler Construction,Computer Science,Open Source,Compiler Tools,,,
pcre2,ACES,PCRE2 is a library that implements Perl-compatible regular expressions. It is a reimplementation of the original PCRE library to provide better performance and a smaller memory footprint.,"1. Support for Perl-compatible regular expressions
2. Improved performance compared to PCRE
3. Smaller memory footprint
4. Unicode support
5. POSIX-compatible API
6. Support for UTF-8, UTF-16, and UTF-32 encodings","regular expressions, library, pattern matching","Text processing, Pattern matching",Computer Science,Regular Expression,Library,,,
xarray,ACES,"xarray is a powerful Python library designed for handling multi-dimensional arrays and datasets. It provides labeled array data structures that simplify data manipulation, analysis, and visualization in scientific computing and data science applications. xarray is particularly useful for working with labeled, multi-dimensional data in climate science, geoscience, and other domains.","Multi-dimensional labeled arrays and data structures, Alignment and broadcasting operations for array computation, Support for data I/O, slicing, indexing, and aggregation, Integration with NumPy, Pandas, and other scientific libraries","array data manipulation, scientific computing, data analysis tool",Climate Science,Data Science,Array Data Tool,Library,,,
SZIP,"ACES, Rockfish","SZIP is a fast, lossless compression library designed for scientific data sets typically found in high-performance computing and large-scale simulations. It offers efficient compression and decompression algorithms essential for reducing storage requirements and optimizing data transfer in scientific computing environments.","Lossless compression, Scientific data sets, High-performance computing","compression library, scientific computing, data optimization",Data Compression,Computer Science,Compression Tool,Library,https://support.hdfgroup.org/doc_resource/SZIP/,https://apolo-docs.readthedocs.io/en/latest/software/scientific_libraries/Szip/Szip-2.1.1/index.html,https://support.hdfgroup.org/doc_resource/SZIP/H5_szip_example.html
PHYLIP,Bridges-2,PHYLIP (the PHYLogeny Inference Package) is a package of programs for inferring evolutionary relationships among a group of species.,"Computes distance matrices, Constructs phylogenetic trees using various methods, Performs bootstrap analysis to assess tree robustness","phylogenetics, evolutionary biology, bioinformatics","Evolutionary Biology, Phylogenetics",Biology,Computational Tool,Bioinformatics Tool,,,
groff,ACES,"GNU troff (groff) is a typesetting system that is used to format and output documents, particularly in Unix-based systems. It supports various macro packages for customizing document layouts and styles.","Document formatting and typesetting, Support for macro packages like ms, man, and mm, Output to various formats like PostScript, PDF, and HTML","Typesetting, Document Formatting, Unix",Document Preparation,Publishing,Typesetting System,Document Processor,,,
7-Zip,OOKAMI,7-Zip is a file archiver with a high compression ratio. It is open-source software with a powerful compression algorithm that supports various compression formats.,"High compression ratio, Open-source software, Supports various compression formats","File archiver, Compression software",,,Utility,File Compression,,,
lftp,Rockfish,"lftp is a sophisticated command-line file transfer program that supports FTP, FTPS, HTTP, HTTPS, and other protocols. It allows users to perform various operations, such as file uploads, downloads, mirroring, and scriptable transfers, offering a versatile solution for managing file transfers.","Support for various file transfer protocols, Command-line interface for efficient file operations, Features like mirroring, scripting, and batch transfers","File Transfer, Command-line Tool, Protocol Support",File Management,Computer Science,Command-line Tool,File Transfer Client,,,
blis,"OOKAMI, Stampede-2, Anvil, ACES",BLIS (BLAS-like Library Instantiation Software Framework) is a high-performance software framework for instantiating BLAS (Basic Linear Algebra Subprograms) libraries. It aims to provide optimized implementations of linear algebra routines.,"Optimized BLAS routines, Threaded parallelism, Flexible matrix operations, Support for multiple architectures, Customizable library instantiation","linear algebra, parallel computing, scientific computing, performance optimization",Linear Algebra,Computational Science,Open Source,Numerical Libraries,https://github.com/flame/blis,https://github.com/flame/blis/wiki,
